1;Bod;45.3826;25.3929
2;Bran;45.4432;25.4950
3;Brasov;45.4311;25.3722
4;Breaza;45.4220;24.5300
5;Cheia;45.2914;25.1924
6;Cobor;45.5647;25.3900
7;Codlea;45.3555;25.3656
8;Cristian;45.3708;25.2840
9;Fagaras;45.5041;24.5827
10;Feldioara;45.4820;25.3530
11;Fundata;45.2612;25.1630
12;Ghimbav;45.3946;25.3022
13;Halchiu;45.3817;25.4106
14;Harman;45.3725;25.4008
15;Jimbor;46.0634;25.2317
16;Magura;45.3123;25.1745
17;Predeal;45.3138;25.3424
18;Prejmer;45.4312;25.4620
19;Rasnov;45.3536;25.2737
20;Sacele;45.3239;25.4003
21;Sanpetru;45.4222;25.3756
22;Tarlungeni;45.3920;25.4537
23;Teliu;45.4152;25.5128
24;Zarnesti;45.3048;25.3018
25;Zizin;45.3815;25.4628
